filename,first_commit,latest_commit,forecast_date,source,indicator,model,diff,retrospective
2024-12-19-agi-are-MPIDS-PS_embedding.csv,2024-12-20,2025-06-10,2024-12-19,agi,are,MPIDS-PS_embedding,173 days,True
2025-01-09-agi-are-MPIDS-PS_embedding.csv,2025-01-09,2025-06-10,2025-01-09,agi,are,MPIDS-PS_embedding,152 days,True
2025-01-16-agi-are-MPIDS-PS_embedding.csv,2025-01-19,2025-06-10,2025-01-16,agi,are,MPIDS-PS_embedding,145 days,True
2025-01-23-agi-are-MPIDS-PS_embedding.csv,2025-01-23,2025-06-10,2025-01-23,agi,are,MPIDS-PS_embedding,138 days,True
2025-01-30-agi-are-MPIDS-PS_embedding.csv,2025-01-30,2025-06-10,2025-01-30,agi,are,MPIDS-PS_embedding,131 days,True
2025-02-06-agi-are-MPIDS-PS_embedding.csv,2025-02-06,2025-06-10,2025-02-06,agi,are,MPIDS-PS_embedding,124 days,True
2025-02-13-agi-are-MPIDS-PS_embedding.csv,2025-02-13,2025-06-10,2025-02-13,agi,are,MPIDS-PS_embedding,117 days,True
2025-02-20-agi-are-MPIDS-PS_embedding.csv,2025-02-20,2025-06-10,2025-02-20,agi,are,MPIDS-PS_embedding,110 days,True
2025-02-27-agi-are-MPIDS-PS_embedding.csv,2025-02-27,2025-06-10,2025-02-27,agi,are,MPIDS-PS_embedding,103 days,True
2025-03-06-agi-are-MPIDS-PS_embedding.csv,2025-03-06,2025-06-10,2025-03-06,agi,are,MPIDS-PS_embedding,96 days,True
2025-03-13-agi-are-MPIDS-PS_embedding.csv,2025-03-22,2025-06-10,2025-03-13,agi,are,MPIDS-PS_embedding,89 days,True
2025-03-20-agi-are-MPIDS-PS_embedding.csv,2025-03-20,2025-06-10,2025-03-20,agi,are,MPIDS-PS_embedding,82 days,True
2025-03-27-agi-are-MPIDS-PS_embedding.csv,2025-03-27,2025-06-10,2025-03-27,agi,are,MPIDS-PS_embedding,75 days,True
2024-10-10-icosari-sari-KIT-LightGBM.csv,2024-10-14,2024-10-14,2024-10-10,icosari,sari,KIT-LightGBM,4 days,True
2024-10-17-icosari-sari-KIT-LightGBM.csv,2024-10-17,2024-10-17,2024-10-17,icosari,sari,KIT-LightGBM,0 days,False
2024-10-24-icosari-sari-KIT-LightGBM.csv,2024-10-25,2024-10-25,2024-10-24,icosari,sari,KIT-LightGBM,1 days,False
2024-10-31-icosari-sari-KIT-LightGBM.csv,2024-11-01,2024-11-01,2024-10-31,icosari,sari,KIT-LightGBM,1 days,False
2024-11-07-icosari-sari-KIT-LightGBM.csv,2024-11-08,2024-11-08,2024-11-07,icosari,sari,KIT-LightGBM,1 days,False
2024-11-14-icosari-sari-KIT-LightGBM.csv,2024-11-15,2024-11-15,2024-11-14,icosari,sari,KIT-LightGBM,1 days,False
2024-11-21-icosari-sari-KIT-LightGBM.csv,2024-11-22,2024-11-22,2024-11-21,icosari,sari,KIT-LightGBM,1 days,False
2024-11-28-icosari-sari-KIT-LightGBM.csv,2024-11-29,2024-11-29,2024-11-28,icosari,sari,KIT-LightGBM,1 days,False
2024-12-05-icosari-sari-KIT-LightGBM.csv,2024-12-06,2024-12-06,2024-12-05,icosari,sari,KIT-LightGBM,1 days,False
2024-12-12-icosari-sari-KIT-LightGBM.csv,2024-12-13,2024-12-13,2024-12-12,icosari,sari,KIT-LightGBM,1 days,False
2024-12-19-icosari-sari-KIT-LightGBM.csv,2025-01-13,2025-01-13,2024-12-19,icosari,sari,KIT-LightGBM,25 days,True
2025-01-09-icosari-sari-KIT-LightGBM.csv,2025-01-13,2025-01-13,2025-01-09,icosari,sari,KIT-LightGBM,4 days,True
2025-01-16-icosari-sari-KIT-LightGBM.csv,2025-01-21,2025-01-21,2025-01-16,icosari,sari,KIT-LightGBM,5 days,True
2025-01-23-icosari-sari-KIT-LightGBM.csv,2025-01-30,2025-01-30,2025-01-23,icosari,sari,KIT-LightGBM,7 days,True
2025-01-30-icosari-sari-KIT-LightGBM.csv,2025-01-31,2025-01-31,2025-01-30,icosari,sari,KIT-LightGBM,1 days,False
2025-02-06-icosari-sari-KIT-LightGBM.csv,2025-02-07,2025-02-07,2025-02-06,icosari,sari,KIT-LightGBM,1 days,False
2025-02-13-icosari-sari-KIT-LightGBM.csv,2025-02-14,2025-02-14,2025-02-13,icosari,sari,KIT-LightGBM,1 days,False
2025-02-20-icosari-sari-KIT-LightGBM.csv,2025-02-25,2025-02-25,2025-02-20,icosari,sari,KIT-LightGBM,5 days,True
2025-02-27-icosari-sari-KIT-LightGBM.csv,2025-03-04,2025-03-04,2025-02-27,icosari,sari,KIT-LightGBM,5 days,True
2025-03-06-icosari-sari-KIT-LightGBM.csv,2025-03-07,2025-03-07,2025-03-06,icosari,sari,KIT-LightGBM,1 days,False
2025-03-13-icosari-sari-KIT-LightGBM.csv,2025-04-30,2025-04-30,2025-03-13,icosari,sari,KIT-LightGBM,48 days,True
2025-03-20-icosari-sari-KIT-LightGBM.csv,2025-03-27,2025-03-27,2025-03-20,icosari,sari,KIT-LightGBM,7 days,True
2025-03-27-icosari-sari-KIT-LightGBM.csv,2025-04-22,2025-04-22,2025-03-27,icosari,sari,KIT-LightGBM,26 days,True
2025-10-09-icosari-sari-KIT-LightGBM.csv,2025-10-10,2025-10-10,2025-10-09,icosari,sari,KIT-LightGBM,1 days,False
2025-10-16-icosari-sari-KIT-LightGBM.csv,2025-10-16,2025-10-16,2025-10-16,icosari,sari,KIT-LightGBM,0 days,False
2025-10-23-icosari-sari-KIT-LightGBM.csv,2025-10-23,2025-10-23,2025-10-23,icosari,sari,KIT-LightGBM,0 days,False
2025-10-30-icosari-sari-KIT-LightGBM.csv,2025-10-30,2025-10-30,2025-10-30,icosari,sari,KIT-LightGBM,0 days,False
2024-10-10-icosari-sari-KIT-MeanEnsemble.csv,2024-10-30,2024-10-30,2024-10-10,icosari,sari,KIT-MeanEnsemble,20 days,True
2024-10-17-icosari-sari-KIT-MeanEnsemble.csv,2024-10-30,2024-10-30,2024-10-17,icosari,sari,KIT-MeanEnsemble,13 days,True
2024-10-24-icosari-sari-KIT-MeanEnsemble.csv,2024-10-30,2024-10-30,2024-10-24,icosari,sari,KIT-MeanEnsemble,6 days,True
2024-10-31-icosari-sari-KIT-MeanEnsemble.csv,2024-11-04,2024-11-04,2024-10-31,icosari,sari,KIT-MeanEnsemble,4 days,True
2024-11-07-icosari-sari-KIT-MeanEnsemble.csv,2024-11-08,2024-11-08,2024-11-07,icosari,sari,KIT-MeanEnsemble,1 days,False
2024-11-14-icosari-sari-KIT-MeanEnsemble.csv,2024-11-15,2024-11-15,2024-11-14,icosari,sari,KIT-MeanEnsemble,1 days,False
2024-11-21-icosari-sari-KIT-MeanEnsemble.csv,2024-11-22,2024-11-22,2024-11-21,icosari,sari,KIT-MeanEnsemble,1 days,False
2024-11-28-icosari-sari-KIT-MeanEnsemble.csv,2024-12-02,2024-12-02,2024-11-28,icosari,sari,KIT-MeanEnsemble,4 days,True
2024-12-05-icosari-sari-KIT-MeanEnsemble.csv,2024-12-06,2024-12-06,2024-12-05,icosari,sari,KIT-MeanEnsemble,1 days,False
2024-12-12-icosari-sari-KIT-MeanEnsemble.csv,2024-12-13,2024-12-13,2024-12-12,icosari,sari,KIT-MeanEnsemble,1 days,False
2024-12-19-icosari-sari-KIT-MeanEnsemble.csv,2025-01-13,2025-01-13,2024-12-19,icosari,sari,KIT-MeanEnsemble,25 days,True
2025-01-09-icosari-sari-KIT-MeanEnsemble.csv,2025-01-13,2025-01-13,2025-01-09,icosari,sari,KIT-MeanEnsemble,4 days,True
2025-01-16-icosari-sari-KIT-MeanEnsemble.csv,2025-01-21,2025-01-21,2025-01-16,icosari,sari,KIT-MeanEnsemble,5 days,True
2025-01-23-icosari-sari-KIT-MeanEnsemble.csv,2025-01-30,2025-01-30,2025-01-23,icosari,sari,KIT-MeanEnsemble,7 days,True
2025-01-30-icosari-sari-KIT-MeanEnsemble.csv,2025-01-31,2025-01-31,2025-01-30,icosari,sari,KIT-MeanEnsemble,1 days,False
2025-02-06-icosari-sari-KIT-MeanEnsemble.csv,2025-02-07,2025-02-07,2025-02-06,icosari,sari,KIT-MeanEnsemble,1 days,False
2025-02-13-icosari-sari-KIT-MeanEnsemble.csv,2025-02-14,2025-02-14,2025-02-13,icosari,sari,KIT-MeanEnsemble,1 days,False
2025-02-20-icosari-sari-KIT-MeanEnsemble.csv,2025-02-25,2025-02-25,2025-02-20,icosari,sari,KIT-MeanEnsemble,5 days,True
2025-02-27-icosari-sari-KIT-MeanEnsemble.csv,2025-03-04,2025-03-04,2025-02-27,icosari,sari,KIT-MeanEnsemble,5 days,True
2025-03-06-icosari-sari-KIT-MeanEnsemble.csv,2025-03-07,2025-05-07,2025-03-06,icosari,sari,KIT-MeanEnsemble,62 days,True
2025-03-13-icosari-sari-KIT-MeanEnsemble.csv,2025-04-30,2025-04-30,2025-03-13,icosari,sari,KIT-MeanEnsemble,48 days,True
2025-03-20-icosari-sari-KIT-MeanEnsemble.csv,2025-04-22,2025-04-22,2025-03-20,icosari,sari,KIT-MeanEnsemble,33 days,True
2025-03-27-icosari-sari-KIT-MeanEnsemble.csv,2025-04-22,2025-04-22,2025-03-27,icosari,sari,KIT-MeanEnsemble,26 days,True
2024-10-10-icosari-sari-KIT-TSMixer.csv,2024-10-15,2024-10-15,2024-10-10,icosari,sari,KIT-TSMixer,5 days,True
2024-10-17-icosari-sari-KIT-TSMixer.csv,2024-10-17,2024-10-17,2024-10-17,icosari,sari,KIT-TSMixer,0 days,False
2024-10-24-icosari-sari-KIT-TSMixer.csv,2024-10-25,2024-10-25,2024-10-24,icosari,sari,KIT-TSMixer,1 days,False
2024-10-31-icosari-sari-KIT-TSMixer.csv,2024-11-01,2024-11-01,2024-10-31,icosari,sari,KIT-TSMixer,1 days,False
