model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,60-79,rsv_infection_survstat,109,92,92,92,98,255,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,60-79,rsv_infection_survstat,166,155,155,155,159,266,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,60-79,rsv_infection_survstat,109,106,106,106,107,138,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,60-79,rsv_infection_survstat,63,63,63,63,63,63,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,80+,rsv_infection_survstat,172,133,153,168,187,235,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,80+,rsv_infection_survstat,129,108,108,108,115,309,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,80+,rsv_infection_survstat,128,117,117,117,121,222,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,80+,rsv_infection_survstat,65,63,63,63,64,84,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,80+,rsv_infection_survstat,52,52,52,52,52,52,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,00+,rsv_infection_survstat,977,736,842,939,1071,1432,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,00+,rsv_infection_survstat,663,540,540,541,583,1744,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,00+,rsv_infection_survstat,1091,998,998,998,1031,1909,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,00+,rsv_infection_survstat,1167,1122,1122,1122,1138,1561,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,00+,rsv_infection_survstat,1255,1250,1250,1250,1255,1284,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-SN,00+,rsv_infection_survstat,977,736,842,939,1071,1432,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-SN,00+,rsv_infection_survstat,663,540,540,541,583,1744,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-SN,00+,rsv_infection_survstat,1091,998,998,998,1031,1909,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-SN,00+,rsv_infection_survstat,1167,1122,1122,1122,1138,1561,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-SN,00+,rsv_infection_survstat,1255,1250,1250,1250,1255,1284,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,00-04,pneumococcal_disease_survstat,10,8,8,9,10,16,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,00-04,pneumococcal_disease_survstat,7,6,6,7,7,10,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,00-04,pneumococcal_disease_survstat,8,7,7,7,8,11,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,00-04,pneumococcal_disease_survstat,10,10,10,10,10,14,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,00-04,pneumococcal_disease_survstat,6,6,6,6,6,8,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,05-14,pneumococcal_disease_survstat,7,7,7,7,7,9,FALSE
