location,age_group,year,week,date,value
DE-NI-HB,00+,2024,27,2024-07-07,0
DE-NI-HB,00+,2024,28,2024-07-14,1
DE-NI-HB,00+,2024,29,2024-07-21,0
DE-NI-HB,00+,2024,30,2024-07-28,1
DE-NI-HB,00+,2024,31,2024-08-04,0
DE-NI-HB,00+,2024,32,2024-08-11,2
DE-NI-HB,00+,2024,33,2024-08-18,1
DE-NI-HB,00+,2024,34,2024-08-25,0
DE-NI-HB,00+,2024,35,2024-09-01,0
DE-NI-HB,00+,2024,36,2024-09-08,0
DE-NI-HB,00+,2024,37,2024-09-15,1
DE-NI-HB,00+,2024,38,2024-09-22,0
DE-NI-HB,00+,2024,39,2024-09-29,0
DE-NI-HB,00+,2024,40,2024-10-06,0
DE-NI-HB,00+,2024,41,2024-10-13,0
DE-NI-HB,00+,2024,42,2024-10-20,3
DE-NI-HB,00+,2024,43,2024-10-27,6
DE-NI-HB,00+,2024,44,2024-11-03,7
DE-NI-HB,00+,2024,45,2024-11-10,7
DE-NI-HB,00+,2024,46,2024-11-17,8
DE-NI-HB,00+,2024,47,2024-11-24,23
DE-NI-HB,00+,2024,48,2024-12-01,34
DE-NI-HB,00+,2024,49,2024-12-08,33
DE-NI-HB,00+,2024,50,2024-12-15,67
DE-NI-HB,00+,2024,51,2024-12-22,77
DE-NI-HB,00+,2024,52,2024-12-29,18
DE-NW,00+,2024,21,2024-05-26,4
DE-NW,00+,2024,22,2024-06-02,4
DE-NW,00+,2024,23,2024-06-09,6
DE-NW,00+,2024,24,2024-06-16,4
DE-NW,00+,2024,25,2024-06-23,4
DE-NW,00+,2024,26,2024-06-30,1
DE-NW,00+,2024,27,2024-07-07,3
DE-NW,00+,2024,28,2024-07-14,5
DE-NW,00+,2024,29,2024-07-21,4
DE-NW,00+,2024,30,2024-07-28,1
DE-NW,00+,2024,31,2024-08-04,1
DE-NW,00+,2024,32,2024-08-11,3
DE-NW,00+,2024,33,2024-08-18,2
DE-NW,00+,2024,34,2024-08-25,3
DE-NW,00+,2024,35,2024-09-01,2
DE-NW,00+,2024,36,2024-09-08,3
DE-NW,00+,2024,37,2024-09-15,1
DE-NW,00+,2024,38,2024-09-22,5
DE-NW,00+,2024,39,2024-09-29,2
DE-NW,00+,2024,40,2024-10-06,1
DE-NW,00+,2024,41,2024-10-13,2
DE-NW,00+,2024,42,2024-10-20,7
DE-NW,00+,2024,43,2024-10-27,6
DE-NW,00+,2024,44,2024-11-03,14
DE-NW,00+,2024,45,2024-11-10,13
DE-NW,00+,2024,46,2024-11-17,27
DE-NW,00+,2024,47,2024-11-24,38
DE-NW,00+,2024,48,2024-12-01,53
DE-NW,00+,2024,49,2024-12-08,57
DE-NW,00+,2024,50,2024-12-15,97
DE-NW,00+,2024,51,2024-12-22,157
DE-NW,00+,2024,52,2024-12-29,22
DE-RP-SL,00+,2024,21,2024-05-26,3
DE-RP-SL,00+,2024,22,2024-06-02,2
DE-RP-SL,00+,2024,23,2024-06-09,2
DE-RP-SL,00+,2024,24,2024-06-16,1
DE-RP-SL,00+,2024,25,2024-06-23,0
DE-RP-SL,00+,2024,26,2024-06-30,0
DE-RP-SL,00+,2024,27,2024-07-07,1
DE-RP-SL,00+,2024,28,2024-07-14,0
DE-RP-SL,00+,2024,29,2024-07-21,1
DE-RP-SL,00+,2024,30,2024-07-28,0
DE-RP-SL,00+,2024,31,2024-08-04,0
DE-RP-SL,00+,2024,32,2024-08-11,0
DE-RP-SL,00+,2024,33,2024-08-18,0
DE-RP-SL,00+,2024,34,2024-08-25,2
DE-RP-SL,00+,2024,35,2024-09-01,2
DE-RP-SL,00+,2024,36,2024-09-08,3
DE-RP-SL,00+,2024,37,2024-09-15,0
DE-RP-SL,00+,2024,38,2024-09-22,0
DE-RP-SL,00+,2024,39,2024-09-29,3
DE-RP-SL,00+,2024,40,2024-10-06,2
DE-RP-SL,00+,2024,41,2024-10-13,1
DE-RP-SL,00+,2024,42,2024-10-20,3
DE-RP-SL,00+,2024,43,2024-10-27,1
DE-RP-SL,00+,2024,44,2024-11-03,2
DE-RP-SL,00+,2024,45,2024-11-10,2
DE-RP-SL,00+,2024,46,2024-11-17,5
DE-RP-SL,00+,2024,47,2024-11-24,14
DE-RP-SL,00+,2024,48,2024-12-01,9
DE-RP-SL,00+,2024,49,2024-12-08,19
DE-RP-SL,00+,2024,50,2024-12-15,29
DE-RP-SL,00+,2024,51,2024-12-22,63
DE-RP-SL,00+,2024,52,2024-12-29,2
DE-SH-HH,00+,2024,21,2024-05-26,3
DE-SH-HH,00+,2024,22,2024-06-02,3
DE-SH-HH,00+,2024,23,2024-06-09,1
DE-SH-HH,00+,2024,24,2024-06-16,2
DE-SH-HH,00+,2024,25,2024-06-23,0
DE-SH-HH,00+,2024,26,2024-06-30,1
DE-SH-HH,00+,2024,27,2024-07-07,6
DE-SH-HH,00+,2024,28,2024-07-14,4
DE-SH-HH,00+,2024,29,2024-07-21,1
DE-SH-HH,00+,2024,30,2024-07-28,1
DE-SH-HH,00+,2024,31,2024-08-04,0
DE-SH-HH,00+,2024,32,2024-08-11,1
DE-SH-HH,00+,2024,33,2024-08-18,1
DE-SH-HH,00+,2024,34,2024-08-25,0
DE-SH-HH,00+,2024,35,2024-09-01,3
DE-SH-HH,00+,2024,36,2024-09-08,2
DE-SH-HH,00+,2024,37,2024-09-15,2
DE-SH-HH,00+,2024,38,2024-09-22,2
DE-SH-HH,00+,2024,39,2024-09-29,4
DE-SH-HH,00+,2024,40,2024-10-06,1
DE-SH-HH,00+,2024,41,2024-10-13,1
DE-SH-HH,00+,2024,42,2024-10-20,6
DE-SH-HH,00+,2024,43,2024-10-27,3
DE-SH-HH,00+,2024,44,2024-11-03,4
DE-SH-HH,00+,2024,45,2024-11-10,5
DE-SH-HH,00+,2024,46,2024-11-17,11
DE-SH-HH,00+,2024,47,2024-11-24,32
DE-SH-HH,00+,2024,48,2024-12-01,32
DE-SH-HH,00+,2024,49,2024-12-08,54
DE-SH-HH,00+,2024,50,2024-12-15,51
DE-SH-HH,00+,2024,51,2024-12-22,83
DE-SH-HH,00+,2024,52,2024-12-29,25
DE-SN,00+,2024,21,2024-05-26,9
DE-SN,00+,2024,22,2024-06-02,35
DE-SN,00+,2024,23,2024-06-09,22
DE-SN,00+,2024,24,2024-06-16,13
DE-SN,00+,2024,25,2024-06-23,13
DE-SN,00+,2024,26,2024-06-30,14
DE-SN,00+,2024,27,2024-07-07,17
DE-SN,00+,2024,28,2024-07-14,3
DE-SN,00+,2024,29,2024-07-21,1
DE-SN,00+,2024,30,2024-07-28,1
DE-SN,00+,2024,31,2024-08-04,3
DE-SN,00+,2024,32,2024-08-11,4
DE-SN,00+,2024,33,2024-08-18,15
DE-SN,00+,2024,34,2024-08-25,37
DE-SN,00+,2024,35,2024-09-01,18
DE-SN,00+,2024,36,2024-09-08,8
DE-SN,00+,2024,37,2024-09-15,11
DE-SN,00+,2024,38,2024-09-22,19
DE-SN,00+,2024,39,2024-09-29,36
DE-SN,00+,2024,40,2024-10-06,9
DE-SN,00+,2024,41,2024-10-13,13
DE-SN,00+,2024,42,2024-10-20,9
DE-SN,00+,2024,43,2024-10-27,13
DE-SN,00+,2024,44,2024-11-03,20
DE-SN,00+,2024,45,2024-11-10,20
DE-SN,00+,2024,46,2024-11-17,26
DE-SN,00+,2024,47,2024-11-24,31
DE-SN,00+,2024,48,2024-12-01,40
DE-SN,00+,2024,49,2024-12-08,69
DE-SN,00+,2024,50,2024-12-15,83
DE-SN,00+,2024,51,2024-12-22,105
DE-SN,00+,2024,52,2024-12-29,24
DE-ST,00+,2024,21,2024-05-26,2
DE-ST,00+,2024,22,2024-06-02,3
DE-ST,00+,2024,23,2024-06-09,6
DE-ST,00+,2024,24,2024-06-16,2
DE-ST,00+,2024,25,2024-06-23,0
DE-ST,00+,2024,26,2024-06-30,1
DE-ST,00+,2024,27,2024-07-07,0
DE-ST,00+,2024,28,2024-07-14,0
DE-ST,00+,2024,29,2024-07-21,2
DE-ST,00+,2024,30,2024-07-28,1
DE-ST,00+,2024,31,2024-08-04,2
DE-ST,00+,2024,32,2024-08-11,0
DE-ST,00+,2024,33,2024-08-18,2
DE-ST,00+,2024,34,2024-08-25,0
DE-ST,00+,2024,35,2024-09-01,2
DE-ST,00+,2024,36,2024-09-08,3
DE-ST,00+,2024,37,2024-09-15,1
DE-ST,00+,2024,38,2024-09-22,1
DE-ST,00+,2024,39,2024-09-29,0
DE-ST,00+,2024,40,2024-10-06,0
DE-ST,00+,2024,41,2024-10-13,0
DE-ST,00+,2024,42,2024-10-20,1
DE-ST,00+,2024,43,2024-10-27,5
DE-ST,00+,2024,44,2024-11-03,8
DE-ST,00+,2024,45,2024-11-10,4
DE-ST,00+,2024,46,2024-11-17,8
DE-ST,00+,2024,47,2024-11-24,25
DE-ST,00+,2024,48,2024-12-01,33
DE-ST,00+,2024,49,2024-12-08,32
DE-ST,00+,2024,50,2024-12-15,50
DE-ST,00+,2024,51,2024-12-22,86
DE-ST,00+,2024,52,2024-12-29,4
DE-TH,00+,2024,21,2024-05-26,1
DE-TH,00+,2024,22,2024-06-02,3
DE-TH,00+,2024,23,2024-06-09,5
DE-TH,00+,2024,24,2024-06-16,2
DE-TH,00+,2024,25,2024-06-23,0
DE-TH,00+,2024,26,2024-06-30,0
DE-TH,00+,2024,27,2024-07-07,0
DE-TH,00+,2024,28,2024-07-14,0
DE-TH,00+,2024,29,2024-07-21,1
DE-TH,00+,2024,30,2024-07-28,0
DE-TH,00+,2024,31,2024-08-04,0
DE-TH,00+,2024,32,2024-08-11,0
DE-TH,00+,2024,33,2024-08-18,1
DE-TH,00+,2024,34,2024-08-25,3
DE-TH,00+,2024,35,2024-09-01,0
DE-TH,00+,2024,36,2024-09-08,1
DE-TH,00+,2024,37,2024-09-15,0
DE-TH,00+,2024,38,2024-09-22,1
DE-TH,00+,2024,39,2024-09-29,0
DE-TH,00+,2024,40,2024-10-06,0
DE-TH,00+,2024,41,2024-10-13,2
DE-TH,00+,2024,42,2024-10-20,2
DE-TH,00+,2024,43,2024-10-27,0
DE-TH,00+,2024,44,2024-11-03,1
DE-TH,00+,2024,45,2024-11-10,2
DE-TH,00+,2024,46,2024-11-17,0
DE-TH,00+,2024,47,2024-11-24,2
DE-TH,00+,2024,48,2024-12-01,4
DE-TH,00+,2024,49,2024-12-08,6
DE-TH,00+,2024,50,2024-12-15,11
DE-TH,00+,2024,51,2024-12-22,17
DE-TH,00+,2024,52,2024-12-29,4
